event_id,citizen_id,city_zone,temperature_c,air_quality_index,energy_consumption_kwh,transport_mode,activity_type,noise_db,timestamp,renewable_energy_source,security_alert_flag,predicted_crowd_density
1,57831,Quantum Bay,24.02,35,1.491,HyperLoop,Health,60.3,2032-07-16 09:40:55,HydroGrid,0,0.64
2,84335,Quantum Bay,19.03,70,3.285,E-Bike,Health,81.1,2032-11-07 03:38:21,Wind,0,0.81
3,71012,Neon Habitat,30.07,84,1.786,E-Bike,Commute,43.2,2032-02-21 04:31:32,HydroGrid,0,0.59
4,69348,Neon Habitat,19.37,59,0.664,HyperLoop,Shopping,73.4,2032-07-18 20:17:24,Solar,0,0.92
5,94203,AeroTech District,26.61,44,5.458,Walk,Delivery,75.5,2032-07-25 01:48:49,HydroGrid,0,0.23
6,17832,Hydra Loop,30.9,30,1.037,HyperLoop,Leisure,59.8,2032-09-12 13:54:55,HydroGrid,0,0.47
7,35503,Neon Habitat,25.87,38,1.357,HoverCab,Leisure,66.4,2032-07-06 07:18:20,HydroGrid,0,0.27
8,47600,Quantum Bay,27.97,118,0.297,HoverCab,Shopping,68.0,2032-10-03 16:52:18,Solar,0,0.54
9,42935,Neon Habitat,35.2,123,6.181,Walk,Work,61.9,2032-08-09 21:12:55,Solar,0,0.34
10,31621,Solaris Sector,26.32,45,3.121,E-Bike,Work,79.0,2032-09-21 23:22:45,HydroGrid,0,0.73
11,51132,Hydra Loop,29.41,50,1.821,Walk,Commute,66.7,2032-02-02 12:47:15,Wind,0,0.13
12,12875,AeroTech District,19.73,88,0.296,E-Bike,Leisure,68.0,2032-08-29 02:28:39,FusionCell,0,0.48
13,13446,Hydra Loop,25.22,47,6.182,Walk,Leisure,59.8,2032-11-26 23:07:53,Solar,0,0.94
14,64838,Neon Habitat,23.19,57,0.035,MagRail,Commute,63.5,2032-01-23 19:22:24,Solar,0,0.11
15,42164,Quantum Bay,24.32,136,0.539,Walk,Leisure,61.4,2032-06-23 09:36:30,Wind,1,0.33
16,58501,Quantum Bay,32.82,138,1.517,Walk,Delivery,60.5,2032-06-09 02:39:48,Solar,0,0.1
17,53439,Solaris Sector,39.86,166,4.798,Walk,Shopping,78.6,2032-11-01 03:25:27,FusionCell,0,0.95
18,63454,Quantum Bay,32.08,74,0.362,MagRail,Work,65.3,2032-09-17 12:44:59,Wind,0,0.44
19,91295,Solaris Sector,25.98,43,0.65,MagRail,Shopping,62.5,2032-08-12 17:25:41,HydroGrid,0,0.61
20,53018,AeroTech District,25.55,86,1.623,Walk,Delivery,63.9,2032-03-14 01:39:20,Solar,0,0.57
21,55859,Solaris Sector,24.58,90,0.588,MagRail,Health,55.0,2032-04-24 11:04:49,Wind,0,0.67
22,61457,Hydra Loop,27.48,36,1.354,MagRail,Work,69.5,2032-10-02 10:00:26,Solar,0,0.67
23,68123,Neon Habitat,23.69,128,4.687,HyperLoop,Delivery,74.6,2032-11-25 10:43:45,FusionCell,0,0.35
24,60814,Solaris Sector,32.38,57,3.549,HyperLoop,Shopping,82.4,2032-03-20 11:33:38,FusionCell,0,0.48
25,32353,AeroTech District,35.03,93,0.076,E-Bike,Shopping,49.0,2032-02-28 19:58:32,FusionCell,0,0.69
26,11401,Quantum Bay,29.89,165,0.241,Walk,Leisure,66.5,2032-12-10 00:46:20,HydroGrid,1,0.42
27,36502,Neon Habitat,36.27,47,0.668,HyperLoop,Leisure,68.4,2032-01-01 15:04:45,Solar,0,0.91
28,93860,AeroTech District,31.12,58,2.975,E-Bike,Health,65.5,2032-11-30 02:15:47,HydroGrid,0,0.33
29,15861,Hydra Loop,28.52,46,0.943,MagRail,Shopping,67.5,2032-05-12 21:14:55,HydroGrid,0,0.61
30,27080,Solaris Sector,28.48,110,2.847,HoverCab,Delivery,49.7,2032-06-05 17:57:57,FusionCell,1,0.39
31,87409,Hydra Loop,30.05,63,1.145,E-Bike,Work,64.1,2032-06-24 18:01:35,HydroGrid,0,0.51
32,98360,Solaris Sector,26.83,166,0.736,Walk,Delivery,57.7,2032-03-13 16:10:07,FusionCell,0,0.23
33,61457,AeroTech District,31.97,64,6.115,Walk,Delivery,68.9,2032-07-29 05:55:17,Solar,0,0.22
34,59642,Quantum Bay,24.6,141,2.646,E-Bike,Work,67.7,2032-07-18 07:21:03,Solar,0,0.94
35,50243,Neon Habitat,32.4,28,2.038,HoverCab,Delivery,52.8,2032-02-18 00:19:14,Solar,0,0.18
36,86060,Neon Habitat,35.34,79,5.967,Walk,Health,70.0,2032-10-06 07:44:01,Wind,0,0.16
37,63212,Quantum Bay,29.59,144,0.0,HoverCab,Health,66.6,2032-03-25 19:10:54,HydroGrid,0,0.94
38,97208,Hydra Loop,27.76,68,0.31,HoverCab,Health,73.1,2032-07-13 09:08:47,Solar,0,0.62
39,36428,Quantum Bay,25.74,90,1.933,E-Bike,Shopping,73.4,2032-03-13 15:23:59,FusionCell,0,0.18
40,60179,Neon Habitat,32.11,112,0.889,HyperLoop,Delivery,73.9,2032-09-06 17:56:11,HydroGrid,0,0.28
41,51919,Hydra Loop,27.86,157,2.205,E-Bike,Delivery,60.8,2032-09-11 20:39:50,Wind,0,0.28
42,89220,Quantum Bay,29.69,117,4.867,HyperLoop,Shopping,67.7,2032-06-16 20:54:13,Solar,0,0.75
43,18676,Hydra Loop,29.37,76,6.498,HyperLoop,Shopping,47.8,2032-05-06 15:29:35,FusionCell,0,0.38
44,93606,Hydra Loop,31.83,135,0.388,E-Bike,Leisure,72.4,2032-08-18 15:34:07,FusionCell,0,0.64
45,96125,Solaris Sector,33.17,152,0.04,Walk,Leisure,60.1,2032-03-15 20:33:09,FusionCell,0,0.32
46,28751,Solaris Sector,34.69,165,6.725,HyperLoop,Health,58.0,2032-01-16 01:58:35,Solar,0,0.58
47,83934,AeroTech District,27.9,134,0.794,MagRail,Shopping,89.8,2032-02-26 15:11:35,Wind,0,0.24
48,31356,Hydra Loop,40.72,31,0.265,Walk,Shopping,46.1,2032-04-10 18:30:35,HydroGrid,0,0.15
49,43381,Hydra Loop,35.91,79,4.364,E-Bike,Work,49.6,2032-07-24 05:13:28,Wind,0,0.89
50,20202,AeroTech District,26.13,24,0.444,MagRail,Delivery,57.0,2032-06-12 04:05:07,HydroGrid,0,0.5
51,50337,Hydra Loop,29.78,99,1.409,HyperLoop,Commute,75.5,2032-02-06 06:17:52,FusionCell,0,0.86
52,18674,AeroTech District,28.02,119,0.999,MagRail,Shopping,57.3,2032-12-20 20:19:28,HydroGrid,1,0.79
53,48084,Neon Habitat,30.33,159,2.662,HyperLoop,Health,63.4,2032-05-26 19:28:55,Solar,0,0.91
54,23475,Quantum Bay,32.77,65,2.174,HoverCab,Delivery,47.7,2032-08-20 22:54:13,Solar,0,0.11
55,27737,Quantum Bay,31.19,157,0.798,MagRail,Shopping,65.5,2032-03-25 11:14:10,FusionCell,0,0.65
56,77352,AeroTech District,26.12,159,2.543,MagRail,Health,42.3,2032-12-27 03:43:30,HydroGrid,0,0.28
57,61502,Neon Habitat,24.51,46,0.972,Walk,Leisure,54.2,2032-01-15 13:12:28,Wind,0,0.24
58,26824,Quantum Bay,30.67,27,0.426,HoverCab,Commute,68.9,2032-06-16 14:39:53,FusionCell,0,0.68
59,18071,Solaris Sector,30.56,25,0.957,MagRail,Delivery,64.9,2032-05-22 16:41:54,Wind,0,0.3
60,45895,Quantum Bay,32.22,68,1.687,E-Bike,Health,68.6,2032-11-19 20:20:09,Solar,0,0.22
61,62410,AeroTech District,31.09,168,0.181,E-Bike,Leisure,77.8,2032-01-09 12:53:03,Solar,0,0.51
62,51747,Hydra Loop,23.28,57,2.988,E-Bike,Shopping,61.2,2032-09-25 21:30:50,Wind,0,0.97
63,99396,AeroTech District,22.68,50,2.471,Walk,Commute,59.2,2032-01-04 08:22:07,Solar,0,0.75
64,54523,Hydra Loop,29.47,167,7.487,E-Bike,Commute,59.6,2032-04-22 08:42:11,Solar,0,0.89
65,41003,Hydra Loop,26.45,85,8.62,Walk,Work,72.4,2032-02-05 15:43:29,FusionCell,0,0.59
66,50514,Quantum Bay,25.83,177,0.157,E-Bike,Health,61.3,2032-10-15 16:54:47,Solar,0,0.91
67,55766,AeroTech District,28.66,131,2.15,MagRail,Shopping,59.4,2032-08-23 17:38:55,Wind,0,0.51
